# --------------------------------------------------------------------------------													
# 													
# Copyright (c) 2000-2020. All rights reserved													
# 													
# Time Period In Log (days.hh:mm:ss): 0.06:29:50													
# 													
# Number of log entries: 1000													
# 													
# --------------------------------------------------------------------------------													
SessionName (JobName)	SessionVersion	RunName	RunNumber	TimestampLocal	TimestampUtc	EventSource	FileNumber	NumberOfSamples	NumberOfChannels	FileSizeBytes	TimeBreak	EventMessage	CreateDT
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:52	23-06-2020 8:52	AcquisitionSystem	19	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0019_S20200623_144909.686+0500_0000.sgy	23-06-2020 9:06
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:53	23-06-2020 8:53	AcquisitionSystem	20	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0020_S20200623_144924.686+0500_0000.sgy	23-06-2020 9:06
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:53	23-06-2020 8:53	AcquisitionSystem	21	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0021_S20200623_144939.686+0500_0000.sgy	23-06-2020 9:07
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:53	23-06-2020 8:53	AcquisitionSystem	22	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0022_S20200623_144954.686+0500_0000.sgy	23-06-2020 9:07
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:53	23-06-2020 8:53	AcquisitionSystem	23	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0023_S20200623_145009.686+0500_0000.sgy	23-06-2020 9:07
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:54	23-06-2020 8:54	AcquisitionSystem	24	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0024_S20200623_145024.686+0500_0000.sgy	23-06-2020 9:07
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:54	23-06-2020 8:54	AcquisitionSystem	25	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0025_S20200623_145039.686+0500_0000.sgy	23-06-2020 9:08
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:54	23-06-2020 8:54	AcquisitionSystem	26	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0026_S20200623_145054.686+0500_0000.sgy	23-06-2020 9:08
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:54	23-06-2020 8:54	User						Fluid 1 rate 11 l/min	23-06-2020 9:08
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:54	23-06-2020 8:54	AcquisitionSystem	27	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0027_S20200623_145109.686+0500_0000.sgy	23-06-2020 9:08
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:55	23-06-2020 8:55	AcquisitionSystem	28	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0028_S20200623_145124.686+0500_0000.sgy	23-06-2020 9:08
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:55	23-06-2020 8:55	AcquisitionSystem	29	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0029_S20200623_145139.686+0500_0000.sgy	23-06-2020 9:09
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:55	23-06-2020 8:55	AcquisitionSystem	30	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0030_S20200623_145154.686+0500_0000.sgy	23-06-2020 9:09
